Person.display_name,Person.distinct_id,Person.id,Url / Screen,event,properties.$lib,properties.endLocation,properties.startLocation,timestamp
019d5da3-4cb5-7498-b116-38f88048cfd8,019d5da3-4cb5-7498-b116-38f88048cfd8,7180e90e-75de-562c-85fb-407f284b2066,https://rushhourplanner.com/?exclude=true&depart=next-tuesday&from=6901+S+Dale+Mabry+Hwy%2C+Tampa%2C+FL+33621%2C+USA&to=6904+Ralston+Pl+Dr%2C+Tampa%2C+FL+33614%2C+USA,route_selected,web,"6904 Ralston Pl Dr, Tampa, FL 33614, USA","6901 S Dale Mabry Hwy, Tampa, FL 33621, USA",2026-04-05T13:57:35.509000Z
019d5da3-4cb5-7498-b116-38f88048cfd8,019d5da3-4cb5-7498-b116-38f88048cfd8,7180e90e-75de-562c-85fb-407f284b2066,https://rushhourplanner.com/?exclude=true&depart=next-tuesday&from=6904+Ralston+Pl+Dr%2C+Tampa%2C+FL+33614%2C+USA&to=6901+S+Dale+Mabry+Hwy%2C+Tampa%2C+FL+33621%2C+USA,route_selected,web,"6901 S Dale Mabry Hwy, Tampa, FL 33621, USA","6904 Ralston Pl Dr, Tampa, FL 33614, USA",2026-04-05T13:57:17.410000Z
019d5da3-4cb5-7498-b116-38f88048cfd8,019d5da3-4cb5-7498-b116-38f88048cfd8,7180e90e-75de-562c-85fb-407f284b2066,https://rushhourplanner.com/?exclude=true&depart=next-tuesday&from=6904+Ralston+Pl+Dr%2C+Tampa%2C+FL+33614%2C+USA&to=6901+S+Dale+Mabry+Hwy%2C+Tampa%2C+FL+33621%2C+USA,route_selected,web,"6901 S Dale Mabry Hwy, Tampa, FL 33621, USA","6904 Ralston Pl Dr, Tampa, FL 33614, USA",2026-04-05T13:57:16.199000Z
019d54f8-6f26-7cc9-8847-568ae1627603,019d54f8-6f26-7cc9-8847-568ae1627603,4ad2d221-fa64-56b5-aa24-39c40381b3b8,https://rushhourplanner.com/?exclude=true&from=Ocala%2C+FL%2C+USA&to=Fort+Myers%2C+FL%2C+USA,route_selected,web,"Fort Myers, FL, USA","Ocala, FL, USA",2026-04-05T13:56:42.949000Z
019d54f8-6f26-7cc9-8847-568ae1627603,019d54f8-6f26-7cc9-8847-568ae1627603,4ad2d221-fa64-56b5-aa24-39c40381b3b8,https://rushhourplanner.com/?to=Ocala%2C+FL%2C+USA&exclude=true&from=Ocala%2C+FL%2C+USA,route_selected,web,"Ocala, FL, USA","Ocala, FL, USA",2026-04-05T13:56:31.801000Z
019d54f8-6f26-7cc9-8847-568ae1627603,019d54f8-6f26-7cc9-8847-568ae1627603,4ad2d221-fa64-56b5-aa24-39c40381b3b8,"https://rushhourplanner.com/?from=Fort+Myers,+FL,+USA&to=Ocala,+FL,+USA&exclude=true",route_selected,web,"Ocala, FL, USA","Fort Myers, FL, USA",2026-04-05T13:56:15.811000Z
019d54f8-6f26-7cc9-8847-568ae1627603,019d54f8-6f26-7cc9-8847-568ae1627603,4ad2d221-fa64-56b5-aa24-39c40381b3b8,"https://rushhourplanner.com/?from=Fort+Myers,+FL,+USA&to=Ocala,+FL,+USA&exclude=true",route_selected,web,,,2026-04-05T13:56:14.170000Z
019d5da3-4cb5-7498-b116-38f88048cfd8,019d5da3-4cb5-7498-b116-38f88048cfd8,7180e90e-75de-562c-85fb-407f284b2066,https://rushhourplanner.com/?exclude=true&depart=next-tuesday&from=6901+S+Dale+Mabry+Hwy%2C+Tampa%2C+FL+33621%2C+USA&to=4009+N+Howard+Ave%2C+Tampa%2C+FL+33607%2C+USA,route_selected,web,"4009 N Howard Ave, Tampa, FL 33607, USA","6901 S Dale Mabry Hwy, Tampa, FL 33621, USA",2026-04-05T13:56:10.546000Z
019d5da3-4cb5-7498-b116-38f88048cfd8,019d5da3-4cb5-7498-b116-38f88048cfd8,7180e90e-75de-562c-85fb-407f284b2066,https://rushhourplanner.com/?exclude=true&depart=next-tuesday&from=4009+N+Howard+Ave%2C+Tampa%2C+FL+33607%2C+USA&to=6901+S+Dale+Mabry+Hwy%2C+Tampa%2C+FL+33621%2C+USA,route_selected,web,"6901 S Dale Mabry Hwy, Tampa, FL 33621, USA","4009 N Howard Ave, Tampa, FL 33607, USA",2026-04-05T13:55:58.018000Z
019d5da3-4cb5-7498-b116-38f88048cfd8,019d5da3-4cb5-7498-b116-38f88048cfd8,7180e90e-75de-562c-85fb-407f284b2066,https://rushhourplanner.com/?exclude=true&depart=next-tuesday&from=4009+N+Howard+Ave%2C+Tampa%2C+FL+33607%2C+USA&to=6901+S+Dale+Mabry+Hwy%2C+Tampa%2C+FL+33621%2C+USA,route_selected,web,"6901 S Dale Mabry Hwy, Tampa, FL 33621, USA","4009 N Howard Ave, Tampa, FL 33607, USA",2026-04-05T13:55:55.353000Z
